sales_id,sales_amount,customer_id,date_id,product_id
100088,48.83,858,371,RET:KIT:DRI:1594
100089,10.95,682,435,COL:ICE:ICE:1542
100090,17.96,399,468,HOT:COF:AME:1231
100091,37.94,954,166,COL:ICE:ICE:1774
100092,35.48,237,703,SNA:PAC:TRA:1112
100093,46.18,303,532,HOT:TEA:GRE:1649
100094,33.0,164,354,HOT:TEA:HER:1041
100095,18.36,444,603,COL:ICE:ICE:1957
100096,44.7,334,686,HOT:TEA:BLA:1196
100097,36.7,791,981,COL:ICE:ICE:1911
100098,41.27,398,424,SNA:PAC:FRU:1880
100099,48.31,287,968,SNA:PAC:FRU:1057
100100,28.91,224,239,COL:ICE:ICE:1702
100101,42.89,830,308,SNA:BAK:CIN:1691
100102,46.5,396,102,RET:MUG:PYB:1508
100103,6.62,226,736,SNA:BAK:COO:1729
100104,8.05,387,676,RET:KIT:PER:1443
100105,38.79,328,288,HOT:TEA:EAR:1934
100106,49.85,1032,460,SNA:PAC:M&M:1197
100107,45.59,775,593,HOT:COF:LAT:1740
100108,39.27,338,67,COL:ICE:ICE:1354
100109,14.88,239,24,SNA:PAC:GRO:1631
100110,27.07,475,232,HOT:TEA:EAR:1055
100111,41.16,614,798,COL:ICE:ICE:1316
100112,11.53,994,235,COL:ICE:ICE:1257
100113,17.34,592,210,RET:MUG:PYB:1208
100114,34.02,955,353,HOT:TEA:EAR:1218
100115,29.23,548,823,HOT:COF:AME:1231
100116,44.14,367,562,COL:ICE:ICE:1158
100117,25.25,685,180,RET:MUG:PYB:1302
100118,6.89,666,402,COL:ICE:ICE:1107
100119,17.46,864,671,RET:MUG:PYB:1166
100120,38.49,760,216,RET:MUG:PYB:1587
100121,25.06,358,305,HOT:COF:LAT:1275
100122,49.57,603,506,SNA:PAC:TRA:1892
100123,36.59,1075,267,COL:ICE:COL:1753
100124,23.88,846,25,COL:ICE:ICE:1414
100125,17.79,387,325,HOT:TEA:HER:1482
100126,17.95,954,208,RET:MUG:PYB:1985
100127,29.11,946,48,COL:ICE:ICE:1864
100128,38.88,444,990,RET:KIT:FRE:1576
100129,35.9,335,239,SNA:PAC:CHE:1327
100130,33.19,477,679,SNA:PAC:GRO:1912
100131,21.88,690,991,RET:MUG:PYB:1445
100132,24.96,746,611,RET:MUG:PYB:1972
100133,28.19,1038,680,SNA:BAK:MUF:1890
100134,41.99,720,830,COL:ICE:ICE:1097
100135,10.71,101,801,HOT:TEA:BLA:1681
100136,48.39,674,42,SNA:BAK:MUF:1173
100137,21.96,156,740,HOT:COF:AME:1510
100138,12.99,398,139,COL:ICE:ICE:1840
100139,33.07,1092,81,COL:ICE:ICE:1178
100140,27.25,419,648,HOT:COF:CAP:1629
100141,7.42,356,43,COL:ICE:ICE:1542
100142,42.16,498,578,RET:KIT:DRI:1700
100143,34.01,903,873,RET:KIT:PER:1186
100144,26.72,290,434,RET:KIT:PER:1859
100145,38.26,265,932,RET:KIT:DRI:1991
100146,6.08,450,346,SNA:PAC:FRU:1672
100147,39.62,981,446,SNA:BAK:CRO:1978
100148,36.55,525,976,SNA:PAC:M&M:1483
100149,38.09,580,928,COL:ICE:COL:1496
100150,42.19,418,115,SNA:BAK:CIN:1946
100151,42.85,279,185,SNA:PAC:M&M:1915
100152,5.74,661,847,SNA:PAC:TRA:1620
100153,22.69,751,66,RET:MUG:PYB:1489
100154,46.44,874,917,COL:ICE:ICE:1178
100155,39.32,819,522,HOT:COF:CAP:1791
100156,17.23,101,175,RET:KIT:FRE:1201
100157,31.08,175,446,HOT:COF:LAT:1500
100158,32.02,941,46,HOT:COF:LAT:1600
100159,33.02,102,224,RET:MUG:PYB:1766
100160,43.42,633,584,RET:KIT:DRI:1132
100161,10.86,620,268,SNA:BAK:MUF:1010
100162,12.78,132,725,RET:MUG:PYB:1180
100163,21.0,1075,112,SNA:BAK:CIN:1863
100164,22.13,343,478,HOT:COF:AME:1882
100165,28.55,740,788,HOT:COF:CAP:1194
100166,46.79,500,767,SNA:BAK:COO:1321
100167,7.8,136,788,SNA:PAC:TRA:1892
100168,11.71,900,991,RET:KIT:FRE:1237
100169,10.6,470,155,RET:MUG:PYB:1655
100170,11.51,938,967,COL:ICE:COL:1048
100171,25.1,431,518,SNA:BAK:CIN:1284
100172,35.84,664,198,HOT:TEA:GRE:1969
100173,9.61,200,28,COL:ICE:COL:1204
100174,7.36,986,616,COL:ICE:ICE:1335
100175,16.58,414,229,SNA:PAC:CHE:1045
100176,48.07,985,685,HOT:TEA:BLA:1196
100177,15.63,863,381,COL:ICE:ICE:1579
100178,12.49,396,716,SNA:PAC:M&M:1357
100179,29.93,353,354,SNA:PAC:FRU:1622
100180,40.64,174,76,HOT:COF:CAP:1362
100181,47.37,707,490,SNA:PAC:CHE:1096
100182,26.46,178,908,HOT:COF:AME:1730
100183,31.17,484,556,HOT:COF:AME:1828
100184,38.29,384,629,COL:ICE:ICE:1641
100185,34.6,567,897,SNA:BAK:BAG:1920
100186,26.59,618,723,SNA:BAK:MUF:1552
100187,45.01,1008,801,RET:MUG:PYB:1766
100188,24.38,729,253,SNA:PAC:GRO:1175
100189,34.76,824,924,HOT:TEA:HER:1876
100190,13.48,400,630,COL:ICE:ICE:1240
100191,8.53,942,137,RET:MUG:PYB:1449
100192,38.37,214,972,COL:ICE:ICE:1846
100193,42.85,683,173,RET:MUG:PYB:1678
100194,39.55,277,211,SNA:BAK:COO:1319
100195,35.25,505,271,SNA:PAC:M&M:1743
100196,32.82,584,656,HOT:TEA:HER:1088
100197,31.41,319,367,SNA:BAK:MUF:1905
100198,36.02,1025,742,RET:MUG:PYB:1535
100199,34.92,303,511,COL:ICE:ICE:1373
100200,14.59,245,863,COL:ICE:ICE:1538
100201,26.42,503,191,COL:ICE:ICE:1461
100202,32.74,690,855,SNA:BAK:COO:1525
100203,9.65,394,712,RET:MUG:PYB:1476
100204,29.72,420,186,HOT:COF:CAP:1533
100205,42.36,788,978,SNA:PAC:FRU:1372
100206,6.45,777,85,HOT:COF:ESP:1961
100207,33.36,101,578,RET:MUG:PYB:1657
100208,15.35,720,487,COL:ICE:ICE:1856
100209,40.5,502,457,HOT:TEA:BLA:1822
100210,20.72,521,934,SNA:PAC:FRU:1647
100211,21.43,873,243,COL:ICE:ICE:1780
100212,37.84,326,302,SNA:BAK:CRO:1654
100213,15.8,284,805,SNA:BAK:CIN:1401
100214,16.36,572,69,HOT:COF:ESP:1871
100215,45.01,964,559,SNA:BAK:CRO:1150
100216,18.59,1010,169,RET:KIT:FRE:1539
100217,6.09,801,763,COL:ICE:ICE:1623
100218,11.39,159,989,HOT:COF:ESP:1735
100219,37.69,926,406,RET:KIT:FRE:1737
100220,24.97,296,573,RET:KIT:FRE:1576
100221,28.98,1084,309,RET:MUG:PYB:1784
100222,23.2,364,704,SNA:PAC:GRO:1020
100223,37.66,1008,884,COL:ICE:ICE:1351
100224,26.71,417,597,COL:ICE:ICE:1133
100225,31.65,244,332,HOT:TEA:GRE:1298
100226,45.51,910,829,HOT:TEA:HER:1824
100227,42.64,185,295,SNA:BAK:CIN:1490
100228,33.16,566,453,COL:ICE:ICE:1465
100229,41.7,837,607,RET:MUG:PYB:1567
100230,23.59,838,809,SNA:BAK:CRO:1425
100231,48.36,264,414,SNA:BAK:CRO:1343
100232,8.25,285,841,SNA:BAK:MUF:1842
100233,43.49,662,155,SNA:BAK:BAG:1534
100234,16.24,565,812,SNA:PAC:M&M:1233
100235,39.61,612,562,HOT:COF:LAT:1246
100236,11.08,648,226,RET:MUG:PYB:1364
100237,40.71,695,208,HOT:COF:ESP:1436
100238,15.6,561,375,SNA:PAC:FRU:1745
100239,39.33,100,920,RET:MUG:PYB:1598
100240,29.44,912,416,HOT:TEA:BLA:1082
100241,44.11,398,140,COL:ICE:ICE:1410
100242,39.93,1003,594,HOT:COF:CAP:1421
100243,41.01,620,687,HOT:TEA:EAR:1151
100244,9.09,461,834,COL:ICE:ICE:1066
100245,46.02,130,85,RET:MUG:PYB:1832
100246,29.08,147,269,COL:ICE:ICE:1591
100247,14.21,947,33,COL:ICE:ICE:1723
100248,37.01,843,265,RET:KIT:FRE:1274
100249,32.68,649,448,SNA:BAK:BAG:1615
100250,29.16,230,214,HOT:COF:CAP:1322
100251,8.49,814,926,COL:ICE:ICE:1434
100252,20.41,317,316,HOT:TEA:CHA:1628
100253,10.5,986,846,COL:ICE:ICE:1049
100254,10.64,867,984,COL:ICE:ICE:1702
100255,9.3,235,20,COL:ICE:ICE:1163
100256,37.8,762,814,HOT:COF:CAP:1475
100257,33.97,1090,472,HOT:TEA:CHA:1451
100258,5.5,356,250,HOT:TEA:BLA:1167
100259,43.87,352,927,SNA:BAK:BAG:1877
100260,35.89,714,67,HOT:TEA:EAR:1555
100261,33.68,661,189,SNA:BAK:CRO:1214
100262,21.21,703,511,RET:KIT:DRI:1279
100263,22.68,944,619,RET:MUG:PYB:1090
100264,19.68,315,977,HOT:TEA:EAR:1404
100265,24.37,245,456,RET:MUG:PYB:1040
100266,8.54,890,722,RET:MUG:PYB:1678
100267,33.18,850,94,HOT:TEA:BLA:1990
100268,24.98,547,531,COL:ICE:ICE:1528
100269,23.66,911,962,RET:KIT:PER:1429
100270,18.38,625,786,HOT:TEA:CHA:1289
100271,49.0,153,554,RET:KIT:DRI:1638
100272,49.97,318,348,COL:ICE:ICE:1422
100273,37.23,542,608,COL:ICE:ICE:1470
100274,25.13,138,94,COL:ICE:ICE:1346
100275,28.38,415,983,RET:KIT:PER:1907
100276,11.39,413,832,SNA:PAC:FRU:1880
100277,26.97,512,75,COL:ICE:ICE:1477
100278,27.99,320,272,SNA:BAK:CRO:1359
100279,40.73,894,269,RET:KIT:PER:1639
100280,36.79,702,571,SNA:BAK:COO:1547
100281,36.78,944,13,COL:ICE:ICE:1642
100282,42.72,577,247,COL:ICE:ICE:1234
100283,47.96,485,525,SNA:BAK:MUF:1848
100284,48.95,777,924,COL:ICE:ICE:1073
100285,25.66,176,921,RET:KIT:FRE:1897
100286,40.93,852,838,RET:MUG:PYB:1963
100287,31.58,1054,747,RET:MUG:PYB:1040
100288,47.11,246,543,COL:ICE:ICE:1901
100289,38.68,799,752,COL:ICE:ICE:1458
100290,32.49,116,41,SNA:PAC:FRU:1672
100291,26.75,516,45,COL:ICE:ICE:1966
100292,17.57,276,394,SNA:PAC:FRU:1372
100293,40.05,756,767,RET:KIT:DRI:1689
100294,43.56,825,664,COL:ICE:ICE:1732
100295,18.62,527,47,COL:ICE:COL:1380
100296,27.05,828,16,RET:KIT:DRI:1247
100297,7.51,667,243,SNA:PAC:TRA:1478
100298,7.87,203,351,HOT:COF:CAP:1194
100299,17.56,131,514,COL:ICE:ICE:1966
100300,21.32,687,113,SNA:PAC:TRA:1112
100301,7.73,356,310,SNA:PAC:CHE:1096
100302,34.0,213,719,HOT:COF:MOC:1653
100303,25.56,916,259,HOT:TEA:BLA:1646
100304,30.35,1036,625,RET:KIT:FRE:1793
100305,41.36,112,185,SNA:PAC:FRU:1647
100306,15.59,432,142,RET:MUG:PYB:1590
100307,31.89,967,766,HOT:TEA:BLA:1125
100308,16.3,547,704,COL:ICE:COL:1753
100309,27.15,755,971,SNA:BAK:MUF:1366
100310,11.27,698,215,RET:KIT:PER:1227
100311,45.81,911,235,COL:ICE:ICE:1697
100312,25.19,761,452,COL:ICE:ICE:1484
100313,27.39,658,31,RET:KIT:DRI:1933
100314,23.06,1026,46,RET:MUG:PYB:1263
100315,29.3,323,561,RET:KIT:FRE:1897
100316,42.73,436,927,HOT:COF:ESP:1922
100317,21.04,510,285,SNA:BAK:MUF:1081
100318,22.71,776,953,RET:KIT:DRI:1829
100319,28.12,628,472,SNA:BAK:BAG:1128
100320,21.97,1051,229,COL:ICE:ICE:1061
100321,6.97,201,437,HOT:TEA:GRE:1453
100322,15.97,189,674,RET:KIT:FRE:1588
100323,37.78,1014,226,HOT:TEA:GRE:1078
100324,48.57,362,674,RET:MUG:PYB:1079
100325,26.8,180,36,HOT:TEA:GRE:1613
100326,9.5,515,211,RET:KIT:PER:1159
100327,34.18,785,40,HOT:COF:AME:1882
100328,30.61,125,256,HOT:COF:MOC:1442
100329,21.3,914,947,COL:ICE:ICE:1458
100330,36.32,757,891,SNA:PAC:TRA:1777
100331,20.12,174,379,RET:KIT:FRE:1895
100332,37.3,287,694,HOT:COF:LAT:1344
100333,13.54,306,571,HOT:COF:MOC:1336
100334,33.57,287,750,SNA:PAC:CHE:1658
100335,46.54,747,908,COL:ICE:ICE:1712
100336,22.2,888,450,HOT:COF:CAP:1533
100337,21.04,264,514,HOT:TEA:EAR:1526
100338,5.6,738,243,SNA:PAC:GRO:1238
100339,26.43,838,112,RET:MUG:PYB:1043
100340,48.72,1085,107,HOT:COF:CAP:1264
100341,47.58,979,461,COL:ICE:ICE:1913
100342,32.48,332,317,RET:MUG:PYB:1290
100343,44.21,771,363,RET:MUG:PYB:1090
100344,42.84,172,15,RET:MUG:PYB:1499
100345,32.32,562,389,COL:ICE:ICE:1891
100346,22.25,921,738,SNA:PAC:CHE:1675
100347,39.21,1023,635,COL:ICE:ICE:1971
100348,31.78,1052,488,SNA:PAC:M&M:1551
100349,32.62,198,36,COL:ICE:ICE:1619
100350,20.48,486,327,COL:ICE:ICE:1750
100351,15.69,675,855,RET:KIT:FRE:1253
100352,6.91,743,486,SNA:PAC:M&M:1357
100353,47.92,1098,344,HOT:COF:AME:1875
100354,37.13,958,931,RET:MUG:PYB:1244
100355,31.97,216,98,SNA:PAC:CHE:1008
100356,18.78,488,569,COL:ICE:ICE:1723
100357,21.18,585,41,HOT:TEA:BLA:1350
100358,9.5,151,713,SNA:BAK:BAG:1092
100359,23.78,803,554,RET:KIT:FRE:1887
100360,36.96,395,491,COL:ICE:ICE:1030
100361,44.03,1097,648,HOT:TEA:HER:1003
100362,8.58,997,436,RET:KIT:FRE:1897
100363,23.3,801,85,COL:ICE:ICE:1757
100364,47.59,874,926,COL:ICE:ICE:1053
100365,8.44,861,616,SNA:PAC:TRA:1892
100366,48.58,438,426,RET:MUG:PYB:1587
100367,44.39,920,918,RET:KIT:DRI:1170
100368,32.39,222,893,RET:KIT:FRE:1497
100369,37.98,313,228,COL:ICE:ICE:1792
100370,41.47,691,618,COL:ICE:ICE:1792
100371,14.61,190,547,RET:MUG:PYB:1464
100372,33.5,246,213,COL:ICE:COL:1995
100373,32.25,479,260,COL:ICE:ICE:1583
100374,34.54,700,402,HOT:TEA:EAR:1404
100375,15.37,704,542,HOT:TEA:BLA:1310
100376,41.31,559,785,COL:ICE:ICE:1709
100377,25.78,542,412,COL:ICE:ICE:1461
100378,17.09,148,503,COL:ICE:ICE:1531
100379,37.22,384,141,RET:KIT:FRE:1253
100380,42.64,458,763,RET:KIT:PER:1859
100381,6.58,741,137,RET:KIT:PER:1903
100382,16.93,1055,250,SNA:PAC:M&M:1698
100383,45.55,1021,737,COL:ICE:ICE:1249
100384,31.02,566,925,HOT:TEA:BLA:1125
100385,18.95,777,502,SNA:PAC:FRU:1179
100386,42.94,187,328,COL:ICE:ICE:1494
100387,33.27,234,194,HOT:COF:MOC:1685
100388,31.81,908,57,RET:KIT:FRE:1309
100389,13.08,549,671,SNA:BAK:COO:1118
100390,29.39,475,874,RET:KIT:DRI:1563
100391,44.87,587,485,HOT:TEA:BLA:1310
100392,30.77,1034,659,COL:ICE:ICE:1694
100393,24.86,897,944,HOT:TEA:BLA:1874
100394,14.29,397,885,HOT:TEA:BLA:1953
100395,45.91,193,374,HOT:COF:CAP:1098
100396,22.56,486,408,HOT:TEA:BLA:1515
100397,43.01,849,955,HOT:TEA:GRE:1432
100398,28.27,204,77,COL:ICE:ICE:1958
100399,19.12,478,701,SNA:BAK:MUF:1405
100400,45.26,457,441,COL:ICE:ICE:1634
100401,18.82,860,795,HOT:COF:MOC:1442
100402,19.08,495,643,COL:ICE:COL:1072
100403,21.73,384,115,COL:ICE:ICE:1148
100404,49.08,212,758,RET:KIT:DRI:1513
100405,15.32,186,360,RET:MUG:PYB:1489
100406,20.86,195,499,HOT:TEA:GRE:1113
100407,7.06,677,85,HOT:TEA:CHA:1628
100408,33.2,289,293,HOT:COF:LAT:1134
100409,43.0,112,187,HOT:TEA:CHA:1036
100410,38.02,494,691,SNA:BAK:CIN:1858
100411,9.56,364,813,RET:KIT:DRI:1485
100412,8.81,565,393,SNA:BAK:BAG:1109
100413,17.01,382,176,SNA:BAK:CRO:1439
100414,13.75,158,456,RET:MUG:PYB:1834
100415,39.25,597,909,SNA:PAC:FRU:1997
100416,43.08,216,177,HOT:TEA:CHA:1628
100417,21.19,536,197,HOT:TEA:HER:1088
100418,25.06,363,738,SNA:PAC:GRO:1175
100419,47.08,275,592,SNA:BAK:CRO:1419
100420,42.54,430,879,HOT:TEA:HER:1153
100421,40.29,271,227,SNA:BAK:CRO:1467
100422,42.01,550,479,RET:MUG:PYB:1520
100423,28.45,520,855,HOT:COF:AME:1666
100424,14.31,568,838,RET:KIT:DRI:1825
100425,20.47,472,798,RET:MUG:PYB:1412
100426,45.21,903,292,RET:KIT:PER:1903
100427,42.78,668,959,COL:ICE:ICE:1851
100428,12.86,922,465,COL:ICE:ICE:1748
100429,48.63,431,338,HOT:COF:LAT:1344
100430,34.6,562,454,HOT:COF:LAT:1275
100431,29.93,464,745,HOT:COF:MOC:1442
100432,34.38,935,776,COL:ICE:ICE:1845
100433,42.82,150,916,COL:ICE:COL:1481
100434,23.73,960,237,COL:ICE:ICE:1856
100435,13.19,1031,849,RET:KIT:FRE:1546
100436,17.25,453,281,SNA:PAC:FRU:1017
100437,15.04,706,153,COL:ICE:ICE:1957
100438,30.78,1070,432,HOT:COF:ESP:1735
100439,23.96,881,89,HOT:COF:LAT:1402
100440,8.19,407,801,SNA:BAK:MUF:1157
100441,34.09,636,252,COL:ICE:ICE:1199
100442,38.13,693,323,RET:KIT:FRE:1682
100443,25.94,821,32,RET:KIT:DRI:1502
100444,38.8,886,587,RET:MUG:PYB:1630
100445,23.0,983,273,COL:ICE:ICE:1994
100446,20.34,391,94,RET:MUG:PYB:1288
100447,32.85,568,275,SNA:PAC:TRA:1777
100448,19.12,676,489,RET:KIT:DRI:1342
100449,25.61,782,410,SNA:PAC:CHE:1271
100450,45.48,1089,885,SNA:BAK:CIN:1093
100451,34.39,498,884,HOT:TEA:GRE:1432
100452,18.64,831,60,SNA:PAC:CHE:1042
100453,7.0,781,18,SNA:BAK:MUF:1165
100454,19.7,240,173,RET:MUG:PYB:1963
100455,15.63,146,555,COL:ICE:ICE:1363
100456,30.24,807,352,COL:ICE:ICE:1097
100457,12.69,372,37,RET:KIT:FRE:1737
100458,44.96,585,903,COL:ICE:COL:1380
100459,46.23,413,93,HOT:COF:MOC:1768
100460,26.89,233,745,SNA:BAK:CRO:1809
100461,40.27,768,366,RET:MUG:PYB:1446
100462,22.18,543,116,COL:ICE:ICE:1568
100463,37.88,438,527,COL:ICE:COL:1105
100464,48.53,159,144,SNA:BAK:BAG:1881
100465,22.96,536,967,RET:MUG:PYB:1520
100466,37.07,911,491,COL:ICE:ICE:1168
100467,43.52,528,936,HOT:TEA:HER:1368
100468,41.0,638,177,RET:KIT:FRE:1309
100469,22.69,588,410,RET:MUG:PYB:1300
100470,7.61,822,370,HOT:COF:LAT:1899
100471,30.62,603,190,HOT:TEA:HER:1751
100472,24.69,346,77,HOT:TEA:CHA:1060
100473,48.91,966,982,HOT:COF:CAP:1362
100474,39.02,234,653,COL:ICE:COL:1105
100475,40.48,337,337,RET:KIT:FRE:1850
100476,11.3,630,118,COL:ICE:COL:1072
100477,27.33,794,433,RET:KIT:FRE:1588
100478,17.37,841,980,RET:KIT:DRI:1594
100479,20.9,477,518,HOT:TEA:BLA:1125
100480,21.91,350,845,RET:KIT:FRE:1488
100481,33.36,794,701,RET:MUG:PYB:1288
100482,22.13,992,609,HOT:TEA:GRE:1613
100483,13.88,527,934,RET:KIT:DRI:1502
100484,42.92,491,230,RET:KIT:FRE:1408
100485,33.35,922,501,COL:ICE:ICE:1097
100486,33.24,576,283,HOT:TEA:EAR:1604
100487,39.32,591,660,HOT:COF:CAP:1669
100488,36.17,170,447,HOT:TEA:CHA:1451
100489,5.7,549,197,SNA:PAC:CHE:1532
100490,26.8,726,312,SNA:BAK:CRO:1214
100491,38.19,239,623,RET:MUG:PYB:1476
100492,35.5,629,172,RET:MUG:PYB:1019
100493,19.03,840,619,HOT:TEA:BLA:1120
100494,25.41,709,544,COL:ICE:ICE:1005
100495,26.51,260,490,HOT:TEA:EAR:1055
100496,16.88,676,854,COL:ICE:ICE:1906
100497,7.62,988,930,SNA:BAK:MUF:1474
100498,33.8,353,522,HOT:TEA:HER:1605
100499,17.75,495,723,SNA:BAK:BAG:1756
100500,15.72,679,704,SNA:PAC:M&M:1198
100501,5.92,222,591,COL:ICE:ICE:1633
100502,40.37,350,109,RET:KIT:FRE:1737
100503,32.17,219,123,RET:KIT:FRE:1895
100504,48.33,996,518,SNA:PAC:TRA:1396
100505,44.75,423,563,HOT:COF:ESP:1220
100506,44.92,672,727,SNA:PAC:M&M:1713
100507,22.12,176,921,HOT:COF:CAP:1322
100508,9.11,858,686,HOT:TEA:HER:1071
100509,32.01,982,396,RET:MUG:PYB:1412
100510,17.69,748,570,HOT:COF:MOC:1100
100511,21.72,248,652,RET:MUG:PYB:1019
100512,49.71,704,360,RET:KIT:FRE:1585
100513,39.76,754,981,HOT:COF:AME:1311
100514,34.4,344,50,COL:ICE:COL:1139
100515,36.09,377,639,SNA:PAC:TRA:1660
100516,47.3,426,173,SNA:PAC:M&M:1198
100517,18.85,751,993,COL:ICE:ICE:1029
100518,34.09,792,956,SNA:PAC:TRA:1111
100519,44.23,160,522,RET:MUG:PYB:1115
100520,25.41,363,618,HOT:COF:ESP:1944
100521,27.91,992,51,COL:ICE:ICE:1422
100522,23.65,757,374,SNA:BAK:MUF:1954
100523,43.02,112,667,SNA:PAC:M&M:1671
100524,29.23,464,764,RET:KIT:PER:1159
100525,11.49,469,723,SNA:BAK:MUF:1552
100526,43.09,891,260,COL:ICE:ICE:1363
100527,14.6,749,155,COL:ICE:ICE:1757
100528,25.26,519,383,COL:ICE:ICE:1316
100529,25.69,332,353,COL:ICE:ICE:1441
100530,11.87,772,730,COL:ICE:COL:1624
100531,23.52,433,919,HOT:TEA:CHA:1495
100532,15.0,273,805,HOT:TEA:HER:1605
100533,46.31,935,317,HOT:COF:ESP:1924
100534,9.34,586,474,SNA:BAK:BAG:1939
100535,29.3,741,691,SNA:PAC:CHE:1479
100536,7.13,507,645,HOT:TEA:EAR:1452
100537,36.23,392,685,HOT:COF:CAP:1205
100538,22.03,655,120,RET:KIT:FRE:1862
100539,28.18,150,816,SNA:BAK:CRO:1276
100540,24.12,1043,45,RET:KIT:PER:1185
100541,39.34,341,478,COL:ICE:ICE:1434
100542,14.22,1099,350,SNA:BAK:BAG:1016
100543,49.74,465,43,RET:KIT:DRI:1304
100544,44.47,754,274,COL:ICE:ICE:1540
100545,31.18,487,803,COL:ICE:ICE:1484
100546,48.63,684,940,HOT:TEA:HER:1426
100547,13.17,578,980,SNA:PAC:CHE:1108
100548,29.69,897,406,COL:ICE:ICE:1383
100549,13.38,411,411,RET:KIT:PER:1227
100550,47.1,975,942,COL:ICE:ICE:1568
